全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL_1,画像_2,画像ライセンス,備考_3
222119,BB00000098,静岡県磐田市,澄水山古墳,チョウスイザンコフン,,,,,,,,静岡県磐田市中泉168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000099,静岡県磐田市,見付宿本陣神谷家墓所・見付宿本陣鈴木家墓所,ミツケシュクホンジンカミヤケボショ・ミツケシュクホンジンスズキケボショ,,,,,,,,静岡県磐田市見付3353-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000100,静岡県磐田市,医王寺庭園及び参道,イオウジテイエンオヨビサンドウ,,,,,,,,静岡県磐田市鎌田2065-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000101,静岡県磐田市,須賀神社クス,スガジンジャクス,,,,,,,,静岡県磐田市西島444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000102,静岡県磐田市,アキザキヤツシロラン群生地,アキザキヤツシロラングンセイチ,,,,,,,,静岡県磐田市城之崎4-2722-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000103,静岡県磐田市,西光寺大クスとナギの木,サイコウジオオクストナギノキ,,,,,,,,静岡県磐田市見付3353-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000104,静岡県磐田市,袴田家のマキ,ハカマタケノマキ,,,,,,,,静岡県磐田市個人蔵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000105,静岡県磐田市,天御子神社のヤマモモの木,アマミコジンジャノヤマモモノキ,,,,,,,,静岡県磐田市見付2990-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000106,静岡県磐田市,福王寺のケヤキ,フクオウジノケヤキ,,,,,,,,静岡県磐田市城之崎4-2722-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000107,静岡県磐田市,西光寺のイヌマキ,サイコウジノイヌマキ,,,,,,,,静岡県磐田市見付3353-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000108,静岡県磐田市,"秋鹿朝重奉納絵馬
　　　　",アイカトモシゲホウノウエマ,,,,,,,,静岡県磐田市中泉112-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
